601	acquisitio, acquisitionis  N (3rd) F
602	acquisitrix, acquisitricis  N (3rd) F
603	acra, acrae  N (1st) F
604	acrum, acri  N (2nd) N
605	acratophorum, acratophori  N (2nd) N
606	acredo, acredinis  N (3rd) F
607	acredula, acredulae  N (1st) F
608	acriculus, acricula, acriculum  ADJ
609	acridium, acridii  N (2nd) N
610	acrifolium, acrifolii  N (2nd) N
611	acrimonia, acrimoniae  N (1st) F
612	acritas, acritatis  N (3rd) F
613	acriter, acrius, acerrime  ADV
614	acritudo, acritudinis  N (3rd) F
615	acro, acronis  N (3rd) M
616	acroama, acroamatis  N (3rd) N
617	acroamatarius, acroamataria, acroamatarium  ADJ
