Caesar		35016	ADJ	D	1	0	40
Caesar		37310	N	D	1	0	40
Caesar		37934	N	D	1	0	40
Caesar		38656	N	D	2	0	37
Caeso		7425	N	C	1	15	65
Caeso		25086	N	D	1	15	55
Caeso		25088	N	D	1	15	55
Cal		22329	ADJ	F	2	0	17
Cal		27205	N	C	3	0	44
Caledonia		7561	N	F	1	15	35
Caligula		7605	N	D	1	15	55
Calpurnia		7658	N	D	1	15	55
Calpurnius		7658	N	D	2	0	37
Calvinism		7689	N	E	1	15	45
Calvinist		7688	ADJ	E	1	15	45
Calvinist		7690	N	E	1	15	45
Calybite		7696	N	E	3	10	34
Cambridge		7936	N	E	1	15	45
Campania		6692	N	N	1	0	15
Campania		7760	N	C	1	15	65
Campania		8152	N	C	2	0	47
Campania		21315	ADJ	C	2	0	47
Campania		28997	ADJ	D	2	0	37
Campanica		26700	N	N	3	0	9
Campanica		26701	N	N	3	0	9
Campanica		34948	N	F	3	0	14
Campanica		34952	N	N	3	0	9
Campus		7773	N	F	1	0	20
Campus		7774	N	E	1	0	30
Campus		8083	N	C	2	0	47
Campus		14748	N	E	2	0	27
Campus		18018	N	E	1	0	30
Campus		33993	N	D	3	0	34
Canaan		9345	N	E	1	15	45
Canaan		9346	N	E	1	15	45
Canaan		9347	N	E	1	15	45
Canaan		9348	ADJ	E	1	0	30
Canaan		24977	N	B	3	10	64
Canalis		7803	N	F	1	0	20
Cancer		5021	N	C	3	0	44
Cancer		7824	N	E	2	10	37
Cancer		7825	N	E	2	10	37
Cancer		7826	N	B	2	10	67
Cannon		12557	N	F	1	0	20
Canon		7908	N	C	1	15	65
Canon		7923	N	F	1	0	20
Canterbury		7975	N	E	1	15	45
Canusian		7979	N	F	1	0	20
Canusian		7980	ADJ	F	1	0	20
Capillus		8015	ADJ	E	3	0	24
Capitol		8054	N	C	1	15	65
Capitol		8055	ADJ	C	3	0	44
Capitoline		4584	N	C	3	0	44
Capitoline		4971	N	A	3	0	64
Capitoline		8054	N	C	2	0	47
Capitoline		8055	ADJ	C	1	15	65
Capricorn		8095	N	E	1	15	45
Capua		8152	N	C	1	15	65
Capuchin		8153	N	D	1	15	55
Cardinal		8231	N	F	1	0	20
Cardinal		8232	N	E	1	0	30
Cardinal		8236	ADJ	F	1	0	20
Cardinal		15688	N	F	1	0	20
Cardinals		13441	N	E	5	0	18
Carmel		8280	N	E	1	15	45
Carmelite		8281	N	E	1	15	45
Carnutes		8322	N	C	1	15	65
Carthage		8371	N	C	1	15	65
Carthage		8373	ADJ	C	1	0	50
Carthage		8374	N	C	1	0	50
Carthage		8375	N	C	1	15	65
Carthage		25102	N	C	1	15	65
Carthage		28209	N	F	3	0	14
Carthage		30825	ADJ	C	2	0	47
Carthage		32353	ADJ	B	2	0	57
Carthage		36341	N	E	1	0	30
Carthage		36346	N	E	1	0	30
Carthaginian		2139	N	B	3	10	64
Carthaginian		8214	ADJ	F	1	15	35
Carthaginian		8373	ADJ	C	1	15	65
Carthaginian		8374	N	C	1	15	65
Carthaginian		17617	N	D	3	0	34
Carthaginian		30824	N	C	1	15	65
Carthaginian		30825	ADJ	C	1	15	65
Carthaginian		30828	ADJ	E	4	10	31
Carthaginian		32342	N	E	1	15	45
Carthaginian		32343	ADJ	E	1	15	45
Carthaginian		32353	ADJ	B	1	15	75
Carthaginian		32354	ADJ	C	2	10	57
Carthaginian		32355	ADJ	E	4	10	31
Carthaginian		32356	ADJ	E	1	15	45
Carthamus		5381	N	N	1	0	15
Carthusian		8376	N	E	1	15	45
Carthusian		18725	ADJ	E	3	0	24
Carus		8170	N	E	1	15	45
Cassius		8427	N	C	1	15	65
Cassius		8428	ADJ	C	1	15	65
Cassiveellaunus		8439	N	C	1	15	65
Castile		8447	N	E	1	15	45
Castor		8470	N	C	1	15	65
Castor		18671	INTERJ	D	1	0	40
Castor		26622	INTERJ	D	1	0	40
Castrensis		8490	N	E	1	0	30
Catacecaumene		8507	N	N	1	0	15
Catacombs		4583	N	E	1	0	30
Catholic		6642	N	E	1	0	30
Catholic		6648	N	E	1	0	30
Catholic		8231	N	F	1	0	20
Catholic		8232	N	E	1	0	30
Catholic		8234	N	D	1	0	40
Catholic		8236	ADJ	F	1	0	20
Catholic		8630	N	C	1	15	65
Catholic		8632	ADJ	C	3	10	54
Catholic		8633	ADV	E	2	0	27
Catholic		8634	N	F	0	0	23
Catholic		18147	N	D	4	0	31
Catholic		19859	N	F	1	0	20
Cato		3789	N	D	1	0	40
Cato		8648	N	C	1	15	65
Celts		8896	ADJ	C	1	15	65
Cen		21879	N	D	1	0	40
Cen		22050	ADJ	D	1	0	40
Cen		25757	N	D	1	0	40
Cen		34876	N	D	1	0	40
Cenabum		8911	N	E	1	15	45
Censor		8648	N	C	3	10	54
Centaurea		15418	N	N	1	0	15
Centaurea		15419	N	N	1	0	15
Centaurs		6581	N	E	1	15	45
Central		22049	N	D	1	0	40
Cephisus		27610	N	E	2	0	27
Cerberus		9101	N	C	1	15	65
Cerberus		9102	N	E	1	15	45
Cerberus		9103	ADJ	D	1	0	40
Ceres		4755	ADJ	E	2	0	27
Ceres		4756	ADJ	E	2	0	27
Ceres		9119	ADJ	C	1	0	50
Ceres		9120	N	C	1	0	50
Ceres		9133	N	B	1	15	75
Ceres		9175	ADJ	C	1	0	50
Ceres		27433	ADJ	D	3	0	34
Ceres		27726	N	F	1	0	20
Chalcis		9296	N	E	1	15	45
Chaldaen		9304	N	C	1	15	65
Chaldaen		9305	ADJ	E	1	15	45
Chaldaen		9306	ADJ	E	1	15	45
Chaldaen		9307	N	C	1	15	65
Chaldaen		9308	ADJ	E	1	15	45
Chaldaens		9305	ADJ	E	1	0	30
Chaldaens		9306	ADJ	E	1	0	30
Chaldaens		9308	ADJ	E	1	0	30
Chaos		9267	N	C	1	15	65
Chaos		9268	N	C	1	15	65
Charles		8326	N	C	1	15	65
Charles		34201	N	D	2	0	37
Charles		34944	N	E	2	0	27
Charmides		9372	N	F	1	15	35
Charmides		9373	V	F	1	0	20
Charmides		9374	ADJ	F	1	0	20
Charmides		15857	V	F	1	0	20
Charmidize		9373	V	F	1	15	35
Charmidize		15857	V	F	1	15	35
Charterhouse		8376	N	E	2	0	27
Charybdis		9389	N	C	1	15	65
Cherubim		9431	N	C	1	15	65
Cherubim		9432	N	C	1	15	65
Chian		9433	N	F	1	0	20
Chian		9434	N	N	2	0	12
Chian		9435	ADJ	E	1	15	45
Chilo		9447	N	E	1	15	45
Chimaera		9449	ADJ	E	1	0	30
Chinese		34896	N	D	1	15	55
Chinese		34915	N	D	3	0	34
Chinese		34916	ADJ	D	1	15	55
Chios		2136	N	E	2	0	27
Chios		9435	ADJ	E	1	0	30
Chislev		8416	N	E	1	15	45
Christ		9568	N	A	1	15	85
Christ		9570	N	A	1	0	70
Christ		9576	N	E	1	0	30
